author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/275137979/,Москва,sale,flat,23,51,2,45.89,-1,0,26000000.0,Пресненский,Шмитовский проезд,,Шелепиха,Headliner
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/264777301/,Москва,sale,flat,6,41,3,65.45,-1,0,26500000.0,Пресненский,Шмитовский проезд,,Шелепиха,Headliner
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/304293060/,Москва,sale,flat,23,29,2,68.1,-1,0,32800000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307098964/,Москва,sale,flat,7,48,1,55.5,-1,0,33000000.0,Ростокино, Вильгельма Пика,3С1,Ботанический сад,Режиссёр
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/304294232/,Москва,sale,flat,24,29,2,68.1,-1,0,33000000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304965476/,Москва,sale,flat,22,22,2,55.7,-1,0,39500000.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305321484/,Москва,sale,flat,14,52,3,76.0,-1,0,41500000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Prime,real_estate_agent,https://www.cian.ru/sale/flat/303047605/,Москва,sale,flat,31,39,4,85.0,-1,0,42000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302893025/,Москва,sale,flat,28,29,2,53.0,-1,0,44000000.0,Якиманка,Мытная ,40к4,Октябрьская,Sky House
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/305322547/,Москва,sale,flat,4,28,2,55.0,-1,0,45000000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306509264/,Москва,sale,flat,2,39,2,69.0,-1,0,47000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/301948885/,Москва,sale,flat,12,51,4,108.2,-1,0,54000000.0,Пресненский,Шмитовский проезд,39,Шелепиха,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303688290/,Москва,sale,flat,9,20,2,71.8,-1,0,57000000.0,Пресненский,Мантулинская ,9к4,Москва-Сити,City Park
