author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ANT Development,developer,https://www.cian.ru/sale/flat/303519421/,Москва,sale,flat,2,10,2,59.8,-1,0,71281684.0,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303117322/,Москва,sale,flat,31,38,4,158.0,-1,0,60000000.0,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
Tekta Group,developer,https://www.cian.ru/sale/flat/303224329/,Москва,sale,flat,7,34,2,41.4,-1,0,21656340.0,Обручевский,,,Воронцовская,Эвер ЖК
ID 52478747,homeowner,https://www.cian.ru/sale/flat/294517249/,Москва,sale,flat,23,27,2,67.0,-1,0,33500000.0,Тропарево-Никулино, Покрышкина,1к1,Юго-Западная,
MR Group,developer,https://www.cian.ru/sale/flat/300287890/,Москва,sale,flat,5,43,2,57.89,-1,0,26438652.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Владислав Карпов,realtor,https://www.cian.ru/sale/flat/307518439/,Москва,sale,flat,15,28,1,40.0,-1,0,30300000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
ЭЛИТА-ЭКО,developer,https://www.cian.ru/sale/flat/306281694/,Москва,sale,flat,3,14,2,41.19,-1,0,34311270.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/304519685/,Москва,sale,flat,39,41,2,56.9,-1,0,39000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ANT Development,developer,https://www.cian.ru/sale/flat/303519450/,Москва,sale,flat,22,34,2,50.6,-1,0,59236384.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/306612595/,Москва,sale,flat,3,41,3,81.7,-1,0,51900000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
FORMA,developer,https://www.cian.ru/sale/flat/306305906/,Москва,sale,flat,5,33,2,64.67,-1,0,37928955.0,Пресненский, Пресненский Вал,27С6,Белорусская,Republic
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/306942080/,Москва,sale,flat,37,41,3,97.2,-1,0,72300000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Главстрой,developer,https://www.cian.ru/sale/flat/301772288/,Москва,sale,flat,2,8,1,35.92,-1,0,17650549.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300973858/,Москва,sale,flat,7,41,3,91.2,-1,0,80000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
MR Group,developer,https://www.cian.ru/sale/flat/306611541/,Москва,sale,flat,2,59,1,30.4,-1,0,,Можайский,,,Давыдково,Веер ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303951960/,Москва,sale,flat,6,17,3,82.7,-1,0,39000000.0,Беговой,Ленинградский проспект,35С2,Петровский Парк,Квартал апартаментов Искра-Парк
VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,-1,0,78259545.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,-1,0,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
MR Group,developer,https://www.cian.ru/sale/flat/307273456/,Москва,sale,flat,5,46,1,31.0,-1,0,16726825.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/305375375/,Москва,sale,flat,11,13,3,141.3,-1,0,98000000.0,Пресненский,Большая Садовая ,5к1,Маяковская,Квартал апартаментов Сады Пекина
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/298969311/,Москва,sale,flat,11,38,4,150.0,-1,0,78000000.0,Раменки,Мосфильмовская ,70к3,Ломоносовский проспект,Воробьевы Горы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/276109473/,Москва,sale,flat,5,10,4,184.0,-1,0,82500000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306342347/,Москва,sale,flat,35,41,3,98.0,-1,0,95000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
,,https://www.cian.ru/sale/flat/294260376/,Москва,sale,flat,6,16,4,207.0,-1,0,89000000.0,Коньково, Островитянова,11К1,Университет Дружбы Народов,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/304681968/,Москва,sale,flat,5,40,1,40.0,-1,0,36000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305176356/,Москва,sale,flat,3,13,4,93.0,-1,0,79950000.0,Раменки,Ломоносовский проспект,36,Ломоносовский проспект,Счастье на Ломоносовском
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/296216266/,Москва,sale,flat,13,40,2,47.3,-1,0,41150000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305053118/,Москва,sale,flat,6,6,4,80.8,-1,0,79790000.0,Хамовники,Мансуровский переулок,6,Парк Культуры,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298804262/,Москва,sale,flat,2,25,3,236.0,-1,0,49950000.0,Можайский,Можайское шоссе,2,Кунцевская,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305199639/,Москва,sale,flat,35,40,3,98.0,-1,0,95000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305373653/,Москва,sale,flat,27,40,2,73.0,-1,0,55000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Галина Лубенец,realtor,https://www.cian.ru/sale/flat/307209311/,Москва,sale,flat,4,16,3,99.0,-1,0,75500000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305379286/,Москва,sale,flat,37,40,3,97.2,-1,0,72500000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305415300/,Москва,sale,flat,7,40,3,91.2,-1,0,80000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Северная слобода,real_estate_agent,https://www.cian.ru/sale/flat/284287955/,Москва,sale,flat,1,4,3,83.3,-1,0,30500000.0,Северный,Дмитровское шоссе,122Гк1,Физтех,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300650969/,Москва,sale,flat,10,37,4,88.4,-1,0,74100000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Александр Ширяев,realtor,https://www.cian.ru/sale/flat/306768303/,Москва,sale,flat,4,18,3,91.8,-1,0,42500000.0,Можайский, Багрицкого,18,Кунцевская,Свой
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303848561/,Москва,sale,flat,8,29,3,80.0,-1,0,36900000.0,Раменки,Мосфильмовская ,74Б,Ломоносовский проспект,Мосфильмовская
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/307628433/,Москва,sale,flat,6,24,2,90.0,-1,0,74000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/305593868/,Москва,sale,flat,5,24,3,107.6,-1,0,52000000.0,Таганский,Марксистская ,7,Пролетарская,
Дмитрий Воронин,realtor,https://www.cian.ru/sale/flat/307366664/,Москва,sale,flat,5,9,2,43.4,-1,0,13990000.0,Чертаново Южное,Россошанская ,11К3,Улица Академика Янгеля,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307113534/,Москва,sale,flat,16,19,2,45.8,-1,0,32000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305014189/,Москва,sale,flat,5,8,4,100.0,-1,0,60000000.0,Гагаринский, Строителей,6К6,Университет,
ID 25242895,homeowner,https://www.cian.ru/sale/flat/302683734/,Москва,sale,flat,19,24,3,90.0,-1,0,34000000.0,Дмитровский,Дмитровское шоссе,107к1,Яхромская,Летний сад
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/306892889/,Москва,sale,flat,5,22,3,73.4,-1,0,20700000.0,Бескудниковский,Дмитровское шоссе,64К4,Верхние Лихоборы,
СТ Тауэрс,developer,https://www.cian.ru/sale/flat/302833885/,Москва,sale,flat,42,66,2,67.4,-1,0,64704000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,-1,0,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303685856/,Москва,sale,flat,17,23,3,93.6,-1,0,43000000.0,Ясенево,Новоясеневский проспект,9,Ясенево,Новоясеневский
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306687246/,Москва,sale,flat,5,12,3,128.2,-1,0,87047800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/307547696/,Москва,sale,flat,4,4,2,51.1,-1,0,35000000.0,Хорошевский,Ленинградский проспект,37/7,Аэропорт,Прайм Парк
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301916112/,Москва,sale,flat,4,5,3,115.0,-1,0,98000000.0,Хамовники,Кропоткинский переулок,4С1,Парк Культуры,
Ташир,developer,https://www.cian.ru/sale/flat/304143916/,Москва,sale,flat,9,32,2,76.6,-1,0,31773680.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
ЕСН,real_estate_agent,https://www.cian.ru/sale/flat/307712349/,Москва,sale,flat,23,31,3,81.6,-1,0,49200000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
ID 17498307,homeowner,https://www.cian.ru/sale/flat/303717092/,Москва,sale,flat,3,5,1,32.7,-1,0,24200000.0,Замоскворечье,Новокузнецкая ,,Павелецкая,
Главстрой,developer,https://www.cian.ru/sale/flat/306076577/,Москва,sale,flat,5,20,3,103.7,-1,0,40906373.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/306155025/,Москва,sale,flat,35,40,3,99.0,-1,0,94900000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Prime,real_estate_agent,https://www.cian.ru/sale/flat/299844318/,Москва,sale,flat,4,24,4,133.0,-1,0,71000000.0,Раменки,Мичуринский проспект,3,Ломоносовский проспект,Квартал Шуваловский
Мангазея,developer,https://www.cian.ru/sale/flat/307179778/,Москва,sale,flat,7,41,2,64.8,-1,0,29762640.0,Даниловский,Большая Тульская ,10С5,Тульская,Мангазея на Тульской
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307474246/,Москва,sale,flat,37,37,2,48.0,-1,0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305968630/,Москва,sale,flat,10,12,3,103.0,-1,0,80000000.0,Алексеевский,Новоалексеевская ,16К5,Алексеевская,Серебряный фонтан
GloraX,developer,https://www.cian.ru/sale/flat/303476998/,Москва,sale,flat,3,21,2,75.3,-1,0,38089999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296709454/,Москва,sale,flat,22,47,3,130.0,-1,0,100000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/301873659/,Москва,sale,flat,7,12,3,120.2,-1,0,55000000.0,Марьина роща,Тихвинская ,4,Менделеевская,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627324/,Москва,sale,flat,4,17,2,87.6,-1,0,50808000.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/307386695/,Москва,sale,flat,10,41,2,47.4,-1,0,42000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 116358344,homeowner,https://www.cian.ru/sale/flat/306732294/,Москва,sale,flat,14,18,4,109.0,-1,0,44000000.0,Тропарево-Никулино,проспект Вернадского,97к3,Юго-Западная,
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,-1,0,32609630.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679800/,Москва,sale,flat,6,20,1,38.82,-1,0,17119620.0,Даниловский,Автозаводская ,26,Тульская,FORST
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/291342956/,Москва,sale,flat,6,6,4,169.0,-1,0,90000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,
Донстрой,developer,https://www.cian.ru/sale/flat/306643485/,Москва,sale,flat,16,50,2,76.9,-1,0,31413650.0,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307022660/,Москва,sale,flat,36,48,4,146.0,-1,0,74900000.0,Раменки,Мосфильмовская ,70к2,Ломоносовский проспект,Воробьевы Горы
Пионер,developer,https://www.cian.ru/sale/flat/307217514/,Москва,sale,flat,4,39,2,35.4,-1,0,31199330.0,Даниловский,,,Павелецкая,Хай Лайф ЖК
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/305829387/,Москва,sale,flat,10,44,3,87.3,-1,0,69300000.0,Пресненский,Ходынская ,2,Улица 1905 года,Пресня Сити
Ташир,developer,https://www.cian.ru/sale/flat/302722377/,Москва,sale,flat,3,16,2,47.4,-1,0,22190784.0,Даниловский,Малая Тульская ,2,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306398198/,Москва,sale,flat,8,22,3,123.3,-1,0,66500000.0,Пресненский,Шмитовский проезд,16С2,Москва-Сити,Шмитовский 16
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/307251049/,Москва,sale,flat,2,11,2,47.0,-1,0,25267200.0,,,В14 кв-л,Серебряный Бор,Сберсити ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306596070/,Москва,sale,flat,5,21,2,65.0,-1,0,70000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Дмитрий Асташов,realtor,https://www.cian.ru/sale/flat/305315873/,Москва,sale,flat,6,9,3,58.7,-1,0,21600000.0,Академический,Большая Черемушкинская ,2К1,Крымская,
Dominanta,developer,https://www.cian.ru/sale/flat/304842332/,Москва,sale,flat,18,34,2,50.8,-1,0,34391600.0,Раменки,проезд 4-й Сетуньский,10Ас2,Парк Победы,hideOUT
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301496697/,Москва,sale,flat,3,5,3,82.9,-1,0,42900000.0,Тверской,1-й Самотечный переулок,17А,Достоевская,
TOUCH,developer,https://www.cian.ru/sale/flat/302838453/,Москва,sale,flat,9,13,1,40.02,-1,0,24145100.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК
3SGroup,developer,https://www.cian.ru/sale/flat/304854215/,Москва,sale,flat,2,17,1,25.7,-1,0,7465079.0,,,,Корниловская,FOREVILLE
Среда,developer,https://www.cian.ru/sale/flat/303859440/,Москва,sale,flat,3,13,1,35.3,-1,0,14738632.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307221415/,Москва,sale,flat,5,21,4,124.0,-1,0,70000000.0,Раменки,Мичуринский проспект,26,Раменки,
Донстрой,developer,https://www.cian.ru/sale/flat/306760385/,Москва,sale,flat,2,16,2,85.4,-1,0,61402600.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304409967/,Москва,sale,flat,25,36,3,105.0,-1,0,89000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы
Донстрой,developer,https://www.cian.ru/sale/flat/306532089/,Москва,sale,flat,3,18,2,56.1,-1,0,29906910.0,Хорошево-Мневники,проезд Проектируемый № 1074,,Терехово ,Остров
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/306832426/,Москва,sale,flat,21,32,4,142.9,-1,0,93000000.0,Щукино, Расплетина,21,Октябрьское поле,Дом в сосновой роще
TOUCH,developer,https://www.cian.ru/sale/flat/305603331/,Москва,sale,flat,4,27,2,65.91,-1,0,44129000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307723604/,Москва,sale,flat,30,85,2,95.4,-1,0,79900000.0,Пресненский,1-й Красногвардейский проезд,21с1,Деловой центр,МФК ОКО
Главстрой,developer,https://www.cian.ru/sale/flat/301772072/,Москва,sale,flat,5,35,3,95.73,-1,0,40115657.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
Николай Тертышник,realtor,https://www.cian.ru/sale/flat/306829727/,Москва,sale,flat,1,9,3,69.0,-1,0,13649000.0,Очаково-Матвеевское,Веерная ,3К4,Матвеевская,
Capital Group,developer,https://www.cian.ru/sale/flat/288136857/,Москва,sale,flat,59,85,2,80.6,-1,0,69501186.0,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,МФК ОКО
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/263883005/,Москва,sale,flat,4,24,3,136.0,-1,0,96000000.0,Раменки,Ломоносовский проспект,25к3,Университет,Dominion
MR Group,developer,https://www.cian.ru/sale/flat/306610279/,Москва,sale,flat,8,59,3,56.1,-1,0,,Можайский,,,Давыдково,Веер ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305726543/,Москва,sale,flat,5,6,3,106.4,-1,0,93990000.0,Хамовники,Комсомольский проспект,9А,Парк Культуры,Николаевский дом
Среда,developer,https://www.cian.ru/sale/flat/304753663/,Москва,sale,flat,2,44,1,31.61,-1,0,14050803.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/302136723/,Москва,sale,flat,22,24,3,110.0,-1,0,80000000.0,Филевский парк,Береговой проезд,5Ак1,Фили,Фили Град
MR Group,developer,https://www.cian.ru/sale/flat/306614056/,Москва,sale,flat,9,28,3,87.7,-1,0,32115301.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/305905578/,Москва,sale,flat,13,14,4,118.0,-1,0,68999999.0,Филевский парк,Филевский бульвар,24к3,Фили,Ривер-Хаус
Tekta Group,developer,https://www.cian.ru/sale/flat/306368174/,Москва,sale,flat,8,27,1,28.1,-1,0,19172630.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303967965/,Москва,sale,flat,3,6,3,112.5,-1,0,85000000.0,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House
Донстрой,developer,https://www.cian.ru/sale/flat/306642928/,Москва,sale,flat,5,27,2,56.7,-1,0,24352650.0,Лефортово,бульвар Сенкевича,,Римская,Символ
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300749905/,Москва,sale,flat,5,9,3,117.0,-1,0,65500000.0,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303761033/,Москва,sale,flat,31,65,2,51.1,-1,0,48000000.0,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers
Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/302037458/,Москва,sale,flat,2,46,2,63.8,-1,0,44314150.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/304330068/,Москва,sale,flat,8,14,4,95.7,-1,0,50000000.0,Раменки,проспект Генерала Дорохова,39к1А,Минская,Собрание клубных домов West Garden
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304544584/,Москва,sale,flat,3,14,4,96.3,-1,0,62000000.0,Раменки,проспект Генерала Дорохова,39к2Г,Минская,Собрание клубных домов West Garden
Группа Родина,developer,https://www.cian.ru/sale/flat/305467910/,Москва,sale,flat,2,23,2,61.0,-1,0,31127000.0,Ростокино,,к6,Ботанический сад,Союз ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299134800/,Москва,sale,flat,5,20,2,65.1,-1,0,70000000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306015213/,Москва,sale,flat,13,14,3,71.0,-1,0,39180000.0,Раменки,проспект Генерала Дорохова,39к2А,Минская,Собрание клубных домов West Garden
Capital Group,developer,https://www.cian.ru/sale/flat/301482894/,Москва,sale,flat,11,18,2,45.8,-1,0,56907301.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305650270/,Москва,sale,flat,3,14,3,70.6,-1,0,54000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/306836131/,Москва,sale,flat,10,19,3,70.0,-1,0,43000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/306946314/,Москва,sale,flat,2,6,2,44.2,-1,0,26078000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
RMRealty,real_estate_agent,https://www.cian.ru/sale/flat/307624266/,Москва,sale,flat,4,4,4,152.0,-1,0,74600000.0,Замоскворечье,Большая Серпуховская ,44,Серпуховская,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/306829886/,Москва,sale,flat,5,14,2,73.1,-1,0,65520000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
Пионер,developer,https://www.cian.ru/sale/flat/301459957/,Москва,sale,flat,4,11,1,56.1,-1,0,53033742.0,Даниловский,,,Павелецкая,Опус ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305369848/,Москва,sale,flat,3,14,3,97.5,-1,0,85000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305186729/,Москва,sale,flat,17,21,3,75.0,-1,0,75000000.0,Пресненский,2-я Черногрязская ,6к4,Улица 1905 года,RedSide
Absolute Premium,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,-1,0,58388000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303337092/,Москва,sale,flat,3,7,2,91.2,-1,0,80000000.0,Басманный,Гороховский переулок,12с5,Курская,Гороховский 12
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305371693/,Москва,sale,flat,7,14,3,113.0,-1,0,75000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
MR Group,developer,https://www.cian.ru/sale/flat/306474423/,Москва,sale,flat,2,54,2,59.94,-1,0,29785385.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/305696938/,Москва,sale,flat,6,14,3,112.6,-1,0,95000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/299884215/,Москва,sale,flat,18,22,3,135.0,-1,0,82000000.0,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
PIONEER,developer,https://www.cian.ru/sale/flat/306809960/,Москва,sale,flat,2,22,1,31.4,-1,0,17903652.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302216903/,Москва,sale,flat,3,18,4,137.0,-1,0,75000000.0,Пресненский,Шмитовский проезд,20,Москва-Сити,Дом на Пресне
St Michael,developer,https://www.cian.ru/sale/flat/304242259/,Москва,sale,flat,3,16,2,30.97,-1,0,16974037.0,Хорошево-Мневники, Берзарина,,Серебряный Бор,Квартал Серебряный Бор
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/305171476/,Москва,sale,flat,2,5,3,65.7,-1,0,27000000.0,Таганский,Большой Факельный переулок,1,Марксистская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305618951/,Москва,sale,flat,24,27,4,260.0,-1,0,85000000.0,Очаково-Матвеевское,Мичуринский проспект,80,Озёрная,
Ташир,representative_developer,https://www.cian.ru/sale/flat/274701405/,Москва,sale,flat,2,17,2,43.3,-1,0,27062500.0,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy
Sdelka Home,real_estate_agent,https://www.cian.ru/sale/flat/306346287/,Москва,sale,flat,9,16,3,74.0,-1,0,20990000.0,Тропарево-Никулино, 26 Бакинских Комиссаров,14,Юго-Западная,
ID 72001944,realtor,https://www.cian.ru/sale/flat/299121498/,Москва,sale,flat,11,17,2,59.0,-1,0,19300000.0,Кунцево,Рублевское шоссе,26К1,Молодёжная,
Sminex,developer,https://www.cian.ru/sale/flat/306155439/,Москва,sale,flat,2,23,1,56.0,-1,0,58110000.0,Пресненский,,,Улица 1905 года,Лайф Тайм ЖК
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/306233175/,Москва,sale,flat,3,5,3,112.7,-1,0,85000000.0,Хамовники,Комсомольский проспект,42С2,Спортивная,Clerkenwell House
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/293704749/,Москва,sale,flat,4,38,2,65.0,-1,0,23000000.0,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
Трансстройинвест,developer,https://www.cian.ru/sale/flat/306658016/,Москва,sale,flat,11,23,2,44.1,-1,0,21442875.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК
ID 85604823,unknown,https://www.cian.ru/sale/flat/307553258/,Москва,sale,flat,9,42,1,42.0,-1,0,30000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Business Leader,real_estate_agent,https://www.cian.ru/sale/flat/303409682/,Москва,sale,flat,3,16,4,94.4,-1,0,59380000.0,Филевский парк,Большая Филевская ,4,Фили,Only
MR Group,developer,https://www.cian.ru/sale/flat/306603306/,Москва,sale,flat,3,36,1,40.8,-1,0,29486364.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
