author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/306028661/,Уфа,sale,flat,12,30,3,87.66,-1,0,12606034,Октябрьский,,,,Урман Сити ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/303249956/,Уфа,sale,flat,9,10,2,74.5,-1,0,10750000,Советский, Карла Маркса,64,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/289319885/,Уфа,sale,flat,16,16,2,56.0,-1,0,9100000,Советский, Пархоменко,156Б,,Видинеевский
СТРАТЕГ,developer,https://ufa.cian.ru/sale/flat/303105232/,Уфа,sale,flat,15,25,1,30.68,-1,0,6114083,Октябрьский,,,,Холмогоры ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/286906123/,Уфа,sale,flat,5,5,2,45.3,-1,0,4750000,Советский, Рихарда Зорге,24,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/298591727/,Уфа,sale,flat,4,5,2,44.4,-1,0,6950000,Ленинский, Ленина,31/33,,
ПСК-6,developer,https://ufa.cian.ru/sale/flat/299143857/,Уфа,sale,flat,2,34,2,40.88,-1,0,6581680,Советский,лит1,лит1,,Космос ЖК
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/294748656/,Уфа,sale,flat,5,5,3,58.0,-1,0,4700000,Советский, Братьев Кадомцевых,11,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/299086297/,Уфа,sale,flat,1,9,3,52.9,-1,0,4290000,Кировский,Батырская ,10/1,,
ПСК-6,developer,https://ufa.cian.ru/sale/flat/299760926/,Уфа,sale,flat,4,25,1,141.9,-1,0,19154000,Октябрьский, 50 лет СССР,34,,Статус
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/293812776/,Уфа,sale,flat,1,9,1,36.5,-1,0,4290000,Советский, Цюрупы,149/1,,
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/295047357/,Уфа,sale,flat,1,4,4,350.0,-1,0,36500000,Кировский, Зайнаб Биишевой,23,,
Третий Трест,developer,https://ufa.cian.ru/sale/flat/284800031/,Уфа,sale,flat,15,26,2,54.58,-1,0,8263685,Октябрьский, Воинов-Интернационалистов,1,,Микрорайон 
Самолет Плюс Уфа,real_estate_agent,https://ufa.cian.ru/sale/flat/292912283/,Уфа,sale,flat,9,10,3,76.0,-1,0,6750000,Орджоникидзевский, Адмирала Макарова,18/1,,
